ID,Input,TPURP,ChoiceCaptive,Mode
0,MI.01.HBWCWALK,HBW,Captive,Walk
1,MI.01.HBWCPT,HBW,Captive,PT
2,MI.01.HBWCAUTOPAX,HBW,Captive,AutoPax
3,MI.02.HBWWALK,HBW,Choice,Walk
4,MI.02.HBWPTWALK,HBW,Choice,PT
5,MI.02.HBWPTDRIVE,HBW,Choice,PNR
6,MI.02.HBWAUTO,HBW,Choice,Auto
7,MI.03.HBSWALK,HBS,Captive,Walk
8,MI.03.HBSPT,HBS,Captive,PT
9,MI.03.HBSAUTOPAX,HBS,Captive,Autopax
10,MI.03.SCHOOLBUSTRIPS,HBS,Captive,Schoolbus
11,MI.04.HBSHOPCWALK,HBSHOP,Captive,Walk
12,MI.04.HBSHOPCPT,HBSHOP,Captive,PT
13,MI.04.HBSHOPCAUTOPAX,HBSHOP,Captive,Autopax
14,MI.05.HBSHOPWALK,HBSHOP,Choice,Walk
15,MI.05.HBSHOPPTWALK,HBSHOP,Choice,PT
16,MI.05.HBSHOPPTDRIVE,HBSHOP,Choice,PNR
17,MI.05.HBSHOPAUTO,HBSHOP,Choice,Auto
18,MI.06.HBOCWALK,HBO,Captive,Walk
19,MI.06.HBOCPT,HBO,Captive,PT
20,MI.06.HBOAUTOPAX,HBO,Captive,Autopax
21,MI.07.HBOWALK,HBO,Choice,Walk
22,MI.07.HBOPTWALK,HBO,Choice,PT
23,MI.07.HBOPTDRIVE,HBO,Choice,PNR
24,MI.07.HBOAUTO,HBO,Choice,Auto
25,MI.08.NHBWCWALK,NHBW,Captive,PT
26,MI.08.NHBWCPT,NHBW,Captive,PT
27,MI.08.NHBWCAUTOPAX,NHBW,Captive,AutoPax
28,MI.09.NHBWWALK,NHBW,Choice,Walk
29,MI.09.NHBWPTWALK,NHBW,Choice,PT
30,MI.09.NHBWPTDRIVE,NHBW,Choice,PNR
31,MI.09.NHBWAUTO,NHBW,Choice,Auto
32,MI.10.NHBOCWALK,NHBO,Captive,Walk
33,MI.10.NHBOCPT,NHBO,Captive,PT
34,MI.10.NHBOCAUTOPAX,NHBO,Captive,Autopax
35,MI.11.NHBOWALK,NHBO,Choice,Walk
36,MI.11.NHBOPTWALK,NHBO,Choice,PT
37,MI.11.NHBOPTDRIVE,NHBO,Choice,PNR
38,MI.11.NHBOAUTO,NHBO,Choice,Auto
39,MI.12.AIRPTAXI,LOGAN,Choice,Auto
40,MI.12.AIRPTRANSIT,LOGAN,Choice,PT
41,MI.12.AIRPAUTO,LOGAN,Choice,Auto
